iter	Passed	Remaining
408	5017	7250
409	5029	7238
410	5041	7225
411	5054	7213
412	5066	7200
413	5078	7188
414	5090	7175
415	5102	7163
416	5114	7151
417	5127	7138
418	5139	7126
419	5151	7113
420	5163	7100
421	5175	7088
422	5187	7075
423	5199	7063
424	5211	7050
425	5223	7038
426	5235	7025
427	5247	7013
428	5259	7000
429	5271	6987
430	5283	6975
431	5295	6963
432	5308	6950
433	5320	6938
434	5332	6926
435	5344	6914
436	5356	6901
437	5368	6888
438	5380	6875
439	5392	6863
440	5404	6850
441	5416	6838
442	5428	6825
443	5440	6812
444	5452	6799
445	5464	6787
446	5476	6775
447	5488	6762
448	5500	6750
449	5513	6738
450	5524	6725
451	5537	6713
452	5548	6700
453	5561	6688
454	5573	6675
455	5585	6663
456	5597	6650
457	5609	6638
458	5621	6626
459	5633	6613
460	5645	6601
461	5657	6588
462	5669	6575
463	5681	6563
464	5693	6550
465	5705	6538
466	5717	6525
467	5729	6513
468	5741	6500
469	5753	6488
470	5765	6475
471	5777	6462
472	5789	6450
473	5801	6438
474	5813	6425
475	5825	6413
476	5837	6400
477	5850	6388
478	5861	6375
479	5874	6363
480	5885	6351
481	5897	6338
482	5909	6325
483	5921	6313
484	5933	6300
485	5945	6288
486	5957	6275
487	5969	6263
488	5981	6250
489	5993	6237
490	6005	6225
491	6017	6212
492	6029	6200
493	6041	6187
494	6053	6175
495	6065	6163
496	6078	6151
497	6090	6139
498	6102	6126
499	6114	6114
500	6126	6101
501	6137	6089
502	6150	6076
503	6161	6063
504	6173	6050
505	6185	6038
506	6196	6025
507	6209	6013
508	6220	6000
509	6232	5988
510	6244	5976
511	6256	5963
512	6268	5950
513	6280	5938
514	6292	5925
515	6304	5913
516	6316	5900
517	6328	5888
518	6340	5876
519	6352	5864
520	6364	5851
521	6376	5838
522	6388	5826
523	6400	5814
524	6412	5801
525	6424	5789
526	6436	5777
527	6449	5765
528	6461	5752
529	6473	5740
530	6485	5728
531	6497	5716
532	6509	5703
533	6521	5691
534	6533	5678
535	6545	5666
536	6557	5653
537	6569	5641
538	6581	5628
539	6592	5616
540	6604	5603
541	6616	5591
542	6628	5579
543	6640	5566
544	6652	5554
545	6664	5541
546	6676	5529
547	6689	5517
548	6701	5505
549	6713	5492
550	6724	5480
551	6737	5467
552	6749	5455
553	6761	5443
554	6773	5431
555	6786	5419
556	6797	5406
557	6809	5394
558	6822	5382
559	6834	5369
560	6846	5357
561	6857	5344
562	6870	5332
563	6881	5320
564	6893	5307
565	6906	5295
566	6917	5282
567	6929	5270
568	6941	5257
569	6953	5245
570	6965	5233
571	6977	5220
572	6990	5209
573	7002	5197
574	7014	5184
575	7026	5172
576	7038	5159
577	7049	5147
578	7061	5134
579	7073	5122
580	7086	5110
581	7098	5097
582	7110	5085
583	7122	5073
584	7134	5060
585	7146	5048
586	7157	5036
587	7170	5023
588	7181	5011
589	7193	4999
590	7205	4986
591	7217	4974
592	7229	4962
593	7241	4949
594	7254	4937
595	7266	4925
596	7278	4913
597	7290	4900
598	7302	4888
599	7314	4876
600	7326	4863
601	7337	4851
602	7349	4838
603	7361	4826
604	7373	4814
605	7385	4801
606	7397	4789
607	7409	4777
608	7421	4765
609	7433	4752
610	7445	4740
611	7457	4727
612	7469	4715
613	7480	4702
614	7492	4690
615	7504	4678
616	7516	4666
617	7529	4653
618	7540	4641
619	7552	4629
620	7564	4616
621	7576	4604
622	7588	4592
623	7601	4580
624	7613	4567
625	7625	4555
626	7637	4543
627	7649	4531
628	7661	4518
629	7673	4506
630	7686	4494
631	7698	4482
632	7710	4470
633	7722	4458
634	7734	4445
635	7746	4433
636	7758	4421
637	7770	4409
638	7783	4397
639	7795	4384
640	7807	4372
641	7819	4360
642	7831	4348
643	7844	4336
644	7855	4323
645	7868	4311
646	7879	4299
647	7891	4286
648	7903	4274
649	7915	4262
650	7927	4249
651	7939	4237
652	7951	4225
653	7963	4213
654	7975	4200
655	7987	4188
656	7999	4176
657	8011	4163
658	8022	4151
659	8034	4139
660	8046	4126
661	8058	4114
662	8070	4102
663	8082	4090
664	8094	4077
665	8106	4065
666	8119	4053
667	8131	4041
668	8143	4028
669	8155	4016
670	8167	4004
671	8179	3992
672	8191	3980
673	8203	3968
674	8215	3955
675	8227	3943
676	8239	3931
677	8251	3918
678	8263	3906
679	8275	3894
680	8287	3882
681	8299	3869
682	8311	3857
683	8323	3845
684	8334	3832
685	8347	3820
686	8359	3808
687	8371	3796
688	8383	3783
689	8395	3771
690	8407	3759
691	8419	3747
692	8431	3735
693	8443	3722
694	8455	3710
695	8466	3698
696	8479	3686
697	8491	3673
698	8503	3661
699	8515	3649
700	8527	3637
701	8540	3625
702	8551	3612
703	8563	3600
704	8575	3588
705	8587	3576
706	8599	3563
707	8611	3551
708	8622	3539
709	8634	3526
710	8646	3514
711	8659	3502
712	8671	3490
713	8683	3478
714	8695	3465
715	8707	3453
716	8718	3441
717	8730	3429
718	8742	3416
719	8754	3404
720	8766	3392
721	8777	3379
722	8790	3367
723	8801	3355
724	8813	3343
725	8825	3330
726	8837	3318
727	8849	3306
728	8860	3293
729	8872	3281
730	8885	3269
731	8897	3257
732	8909	3245
733	8921	3233
734	8933	3220
735	8945	3208
736	8957	3196
737	8969	3184
738	8981	3172
739	8993	3159
740	9005	3147
741	9016	3135
742	9028	3122
743	9040	3110
744	9052	3098
745	9064	3086
746	9077	3074
747	9089	3062
748	9101	3050
749	9113	3037
750	9125	3025
751	9137	3013
752	9149	3001
753	9161	2988
754	9173	2976
755	9185	2964
756	9197	2952
757	9209	2940
758	9221	2927
759	9233	2915
760	9245	2903
761	9257	2891
762	9269	2879
763	9282	2867
764	9294	2855
765	9305	2842
766	9317	2830
767	9329	2818
768	9341	2806
769	9353	2793
770	9365	2781
771	9377	2769
772	9389	2757
773	9401	2744
774	9412	2732
775	9424	2720
776	9436	2708
777	9448	2696
778	9460	2683
779	9472	2671
780	9484	2659
781	9496	2647
782	9508	2635
783	9520	2622
784	9531	2610
785	9543	2598
786	9555	2586
787	9567	2574
788	9579	2561
789	9591	2549
790	9603	2537
791	9615	2525
792	9627	2513
793	9639	2500
794	9651	2488
795	9663	2476
796	9675	2464
797	9687	2452
798	9699	2440
799	9711	2427
800	9723	2415
801	9735	2403
802	9747	2391
803	9759	2379
804	9771	2366
805	9783	2354
806	9795	2342
807	9807	2330
808	9819	2318
809	9830	2305
810	9842	2293
811	9854	2281
812	9866	2269
813	9879	2257
814	9891	2245
815	9903	2233
816	9914	2220
817	9926	2208
818	9938	2196
819	9950	2184
820	9962	2171
821	9974	2159
822	9986	2147
823	9998	2135
824	10010	2123
825	10022	2111
826	10034	2099
827	10046	2086
828	10058	2074
829	10070	2062
830	10083	2050
831	10095	2038
832	10107	2026
833	10119	2014
834	10131	2002
835	10143	1989
836	10155	1977
837	10167	1965
838	10179	1953
839	10190	1941
840	10203	1929
841	10214	1916
842	10226	1904
843	10238	1892
844	10250	1880
845	10262	1868
846	10274	1855
847	10286	1843
848	10298	1831
849	10310	1819
850	10322	1807
851	10334	1795
852	10346	1783
853	10358	1770
854	10370	1758
855	10382	1746
856	10394	1734
857	10406	1722
858	10418	1710
859	10429	1697
860	10442	1685
861	10453	1673
862	10465	1661
863	10477	1649
864	10489	1637
865	10501	1624
866	10513	1612
867	10525	1600
868	10537	1588
869	10549	1576
870	10561	1564
871	10573	1552
872	10585	1539
873	10597	1527
874	10609	1515
875	10621	1503
876	10633	1491
877	10645	1479
878	10657	1467
879	10669	1454
880	10681	1442
881	10693	1430
882	10705	1418
883	10717	1406
884	10729	1394
885	10740	1382
886	10752	1369
887	10765	1357
888	10777	1345
889	10788	1333
890	10800	1321
891	10812	1309
892	10824	1296
893	10836	1284
894	10848	1272
895	10859	1260
896	10871	1248
897	10883	1236
898	10894	1224
899	10906	1211
900	10918	1199
901	10931	1187
902	10943	1175
903	10955	1163
904	10967	1151
905	10979	1139
906	10991	1126
907	11003	1114
908	11015	1102
909	11026	1090
910	11039	1078
911	11051	1066
912	11062	1054
913	11075	1042
914	11086	1029
915	11098	1017
916	11111	1005
917	11122	993
918	11134	981
919	11146	969
920	11158	957
921	11170	945
922	11182	932
923	11195	920
924	11207	908
925	11219	896
926	11231	884
927	11243	872
928	11254	860
929	11266	848
930	11278	835
931	11290	823
932	11302	811
933	11314	799
934	11326	787
935	11338	775
936	11350	763
937	11361	751
938	11374	738
939	11385	726
940	11398	714
941	11410	702
942	11422	690
943	11434	678
944	11446	666
945	11458	654
946	11469	641
947	11482	629
948	11494	617
949	11506	605
950	11518	593
951	11530	581
952	11541	569
953	11553	557
954	11566	545
955	11578	532
956	11590	520
957	11602	508
958	11614	496
959	11626	484
960	11638	472
961	11650	460
962	11661	448
963	11673	435
964	11685	423
965	11697	411
966	11709	399
967	11720	387
968	11733	375
969	11745	363
970	11757	351
971	11769	339
972	11781	326
973	11793	314
974	11804	302
975	11816	290
976	11828	278
977	11840	266
978	11851	254
979	11863	242
980	11875	230
981	11887	217
982	11899	205
983	11912	193
984	11924	181
985	11936	169
986	11947	157
987	11959	145
988	11971	133
989	11983	121
990	11995	108
991	12007	96
992	12019	84
993	12031	72
994	12043	60
995	12055	48
996	12067	36
997	12078	24
998	12090	12
999	12102	0
